,Domain_x,Topic_x,Variable Name,Variable Label,cluster_labels,age,min,max,Risk,gender,male,race,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Two or more races,Native Hawaiian and other Pacific Islander,White,Some other race,total
21,2. Economic context,Poverty,SAIPE_PCT_POV_0_17,Estimated percentage of people aged 0-17 in poverty,31,Yes,0.0,17,financial Risk,No,,No,,,,,,,,,
22,2. Economic context,Poverty,SAIPE_TOT_POV_0_17,Estimated number of people aged 0-17 in poverty,31,Yes,0.0,17,financial Risk,No,,No,,,,,,,,,
23,2. Economic context,Poverty,SAIPE_TOT_POV_5_17,Estimated number of related children aged 5-17 in families in poverty,31,Yes,5.0,17,financial Risk,No,,No,,,,,,,,,
24,2. Economic context,Income,ACS_GINI_INDEX,Gini index of income inequality,193,No,,,financial Risk,No,,No,,,,,,,,,
25,2. Economic context,Income,ACS_MDN_GRNDPRNT_INC,"Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)",37,No,,,financial Risk,No,,No,,,,,,,,,
26,2. Economic context,Income,ACS_MDN_GRNDPRNT_NO_PRNT_INC,"Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)",37,No,,,financial Risk,No,,No,,,,,,,,,
27,4. Physical infrastructure,Housing,ACS_MDN_OWNER_COST_MORTGAGE,Median selected monthly owner costs for houses with a mortgage (dollars),92,No,,,Housing Challenges,No,,No,,,,,,,,,
28,4. Physical infrastructure,Housing,ACS_MDN_OWNER_COST_NO_MORTG,Median selected monthly owner costs for houses without a mortgage (dollars),92,No,,,Housing Challenges,No,,No,,,,,,,,,
29,2. Economic context,Income,ACS_MEDIAN_HH_INC,"Median household income (dollars, inflation-adjusted to data file year)",124,No,,,financial Risk,No,,No,,,,,,,,,
30,2. Economic context,Income,ACS_MEDIAN_HH_INC_AIAN,"Median household income for households with an American Indian and Alaska Native alone householder (dollars, inflation-adjusted to data file year)",124,No,,,financial Risk,No,,Yes,1.0,,,,,,,,1.0
31,2. Economic context,Income,ACS_MEDIAN_HH_INC_ASIAN,"Median household income for households with an Asian alone householder (dollars, inflation-adjusted to data file year)",124,No,,,financial Risk,No,,Yes,,1.0,,,,,,,1.0
32,2. Economic context,Income,ACS_MEDIAN_HH_INC_BLACK,"Median household income for households with a Black or African American alone householder (dollars, inflation-adjusted to data file year)",124,No,,,financial Risk,No,,Yes,,,1.0,,,,,,1.0
33,2. Economic context,Income,ACS_MEDIAN_HH_INC_HISP,"Median household income for households with a Hispanic or Latino householder (dollars, inflation-adjusted to data file year)",124,No,,,financial Risk,No,,Yes,,,,1.0,,,,,1.0
34,2. Economic context,Income,ACS_MEDIAN_HH_INC_MULTI,"Median household income for households with a two or more races householder (dollars, inflation-adjusted to data file year)",124,No,,,financial Risk,No,,Yes,,,,,1.0,,,,1.0
35,2. Economic context,Income,ACS_MEDIAN_HH_INC_NHPI,"Median household income for households with a Native Hawaiian and other Pacific Islander alone householder (dollars, inflation-adjusted to data file year)",124,No,,,financial Risk,No,,Yes,,,,,,1.0,,1,2.0
36,2. Economic context,Income,ACS_MEDIAN_HH_INC_OTHER,"Median household income for households with a some other race alone householder (dollars, inflation-adjusted to data file year)",124,No,,,financial Risk,No,,No,,,,,,,,,
37,2. Economic context,Income,ACS_MEDIAN_HH_INC_WHITE,"Median household income for households with a White alone, not Hispanic or Latino householder (dollars, inflation-adjusted to data file year)",124,No,,,financial Risk,No,,Yes,,,,1.0,,,1.0,,2.0
38,4. Physical infrastructure,Housing,ACS_MEDIAN_HOME_VALUE,Median home value of owner-occupied housing units (dollars),92,No,,,Housing Challenges,No,,No,,,,,,,,,
39,2. Economic context,Income,ACS_MEDIAN_INC_F,"Median income of female population (dollars, ages 15 and over with income in the past 12 months, inflation-adjusted to data file year)",47,No,,,financial Risk,No,,No,,,,,,,,,
40,2. Economic context,Income,ACS_MEDIAN_INC_M,"Median income of male population (dollars, ages 15 and over with income in the past 12 months, inflation-adjusted to data file year)",47,No,,,financial Risk,No,,No,,,,,,,,,
41,2. Economic context,Income,ACS_MEDIAN_NONVET_INC,"Median income of civilian nonveteran population (dollars, ages 18 and over, inflation-adjusted to data file year)",47,No,,,financial Risk,No,,No,,,,,,,,,
42,4. Physical infrastructure,Housing,ACS_MEDIAN_RENT,Median gross rent (dollars),92,No,,,Housing Challenges,No,,No,,,,,,,,,
43,2. Economic context,Income,ACS_MEDIAN_VET_INC,"Median income of civilian veterans (dollars, ages 18 and over, inflation-adjusted to data file year)",47,No,,,financial Risk,No,,No,,,,,,,,,
44,4. Physical infrastructure,Housing,ACS_MEDIAN_YEAR_BUILT,Median year structure built of housing units,63,No,,,Transportation Risk,No,,No,,,,,,,,,
45,4. Physical infrastructure,Housing,ACS_MEDIAN_YEAR_BUILT,Median year structure built of housing units,63,No,,,Housing Challenges,No,,No,,,,,,,,,
46,4. Physical infrastructure,Housing,ACS_PCT_10UNITS,Percentage of housing in structures with 10 or more units,63,No,,,Transportation Risk,No,,No,,,,,,,,,
47,4. Physical infrastructure,Housing,ACS_PCT_10UNITS,Percentage of housing in structures with 10 or more units,63,No,,,Housing Challenges,No,,No,,,,,,,,,
48,4. Physical infrastructure,Housing,ACS_PCT_1UP_OWNER_1ROOM,Percentage of owner-occupied housing units with more than one occupant per room,55,No,,,Housing Challenges,No,,No,,,,,,,,,
49,4. Physical infrastructure,Housing,ACS_PCT_1UP_OWNER_1ROOM,Percentage of owner-occupied housing units with more than one occupant per room,55,No,,,financial Risk,No,,No,,,,,,,,,
50,4. Physical infrastructure,Housing,ACS_PCT_1UP_PERS_1ROOM,Percentage of housing units with more than one occupant per room,55,No,,,Housing Challenges,No,,No,,,,,,,,,
51,4. Physical infrastructure,Housing,ACS_PCT_1UP_PERS_1ROOM,Percentage of housing units with more than one occupant per room,55,No,,,financial Risk,No,,No,,,,,,,,,
52,4. Physical infrastructure,Housing,ACS_PCT_1UP_RENT_1ROOM,Percentage of renter-occupied housing units with more than one occupant per room,55,No,,,Housing Challenges,No,,No,,,,,,,,,
53,4. Physical infrastructure,Housing,ACS_PCT_1UP_RENT_1ROOM,Percentage of renter-occupied housing units with more than one occupant per room,55,No,,,financial Risk,No,,No,,,,,,,,,
54,3. Education,Attainment,ACS_PCT_BACHELOR_DGR,Percentage of population with a bachelor's degree (ages 25 and over),102,No,,,Educational Challenges,No,,No,,,,,,,,,
55,1. Social context,Living conditions,ACS_PCT_CHILDREN_GRANDPARENT,Percentage of children living with a grandparent householder (ages 17 and below),37,No,,,financial Risk,No,,No,,,,,,,,,
56,1. Social context,Disability,ACS_PCT_CHILD_DISAB,Percentage of children with a disability (ages 17 and below),133,No,,,Disease Risk,No,,No,,,,,,,,,
57,3. Education,Attainment,ACS_PCT_COLLEGE_ASSOCIATE_DGR,Percentage of population with some college or associate's degree (ages 25 and over),102,No,,,Educational Challenges,No,,No,,,,,,,,,
58,4. Physical infrastructure,Transportation,ACS_PCT_COMMT_15MIN,Percentage of workers with < 15-minute commute time (ages 16 and over),58,No,,,Transportation Risk,No,,No,,,,,,,,,
59,4. Physical infrastructure,Transportation,ACS_PCT_COMMT_29MIN,Percentage of workers with 15- to 29-minute commute time (ages 16 and over),58,No,,,Transportation Risk,No,,No,,,,,,,,,
60,4. Physical infrastructure,Transportation,ACS_PCT_COMMT_59MIN,Percentage of workers with 30- to 59-minute commute time (ages 16 and over),58,No,,,Transportation Risk,No,,No,,,,,,,,,
61,4. Physical infrastructure,Transportation,ACS_PCT_COMMT_60MINUP,Percentage of workers with at least 60-minute commute time (ages 16 and over),58,No,,,Transportation Risk,No,,No,,,,,,,,,
62,1. Social context,Disability,ACS_PCT_DISABLE,Percentage of population with a disability,133,No,,,Disease Risk,No,,No,,,,,,,,,
63,4. Physical infrastructure,Transportation,ACS_PCT_DRIVE_2WORK,"Percentage of workers taking a car, truck, or van to work (ages 16 and over)",75,No,,,Transportation Risk,No,,No,,,,,,,,,
64,3. Education,Attainment,ACS_PCT_GRADUATE_DGR,Percentage of population with a master's or professional school degree or doctorate (ages 25 and over),102,No,,,Educational Challenges,No,,No,,,,,,,,,
65,1. Social context,Living conditions,ACS_PCT_GRANDP_NO_RESPS,Percentage of children living with grandparent householder whose grandparent is not responsible for them,37,No,,,financial Risk,No,,No,,,,,,,,,
66,1. Social context,Living conditions,ACS_PCT_GRANDP_RESPS_NO_P,Percentage of children living with grandparent householder whose grandparent is responsible for them: parent not present,37,No,,,financial Risk,No,,No,,,,,,,,,
67,1. Social context,Living conditions,ACS_PCT_GRANDP_RESPS_P,Percentage of children living with grandparent householder whose grandparent is responsible for them: parent present,37,No,,,financial Risk,No,,No,,,,,,,,,
68,4. Physical infrastructure,Housing,ACS_PCT_GRP_QRT,Percentage of persons in institutionalized group quarters,33,No,,,Social Environmental Risk,No,,No,,,,,,,,,
69,2. Economic context,Poverty,ACS_PCT_HH_1FAM_FOOD_STMP,Percentage of unmarried partner households that received food stamps/SNAP benefits,62,No,,,Food Security,No,,No,,,,,,,,,
70,2. Economic context,Poverty,ACS_PCT_HH_1FAM_FOOD_STMP,Percentage of unmarried partner households that received food stamps/SNAP benefits,62,No,,,financial Risk,No,,No,,,,,,,,,
71,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_BROADBAND,"Percentage of households with broadband such as cable, fiber optic or DSL ",73,No,,,Technology Access Risk,No,,No,,,,,,,,,
72,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_BROADBAND_ANY,Percentage of households with broadband of any type,73,No,,,Technology Access Risk,No,,No,,,,,,,,,
73,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_BROADBAND_ONLY,"Percentage of households with broadband such as cable, fiber optic or DSL with no other type of Internet subscription",73,No,,,Technology Access Risk,No,,No,,,,,,,,,
74,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_CELLULAR,Percentage of households with a cellular data plan,73,No,,,Technology Access Risk,No,,No,,,,,,,,,
75,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_CELLULAR_ONLY,Percentage of households with a cellular data plan with no other type of internet subscription,73,No,,,Technology Access Risk,No,,No,,,,,,,,,
76,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_DIAL_INTERNET_ONLY,Percentage of households with dial up and no other type of internet subscription,73,No,,,Technology Access Risk,No,,No,,,,,,,,,
77,2. Economic context,Poverty,ACS_PCT_HH_FOOD_STMP,"Percentage of households that received food stamps/SNAP, past 12 months",62,No,,,Food Security,No,,No,,,,,,,,,
78,2. Economic context,Poverty,ACS_PCT_HH_FOOD_STMP,"Percentage of households that received food stamps/SNAP, past 12 months",62,No,,,financial Risk,No,,No,,,,,,,,,
79,2. Economic context,Poverty,ACS_PCT_HH_FOOD_STMP_BLW_POV,Percentage of households receiving food stamps/SNAP with income below the poverty level,62,No,,,Food Security,No,,No,,,,,,,,,
80,2. Economic context,Poverty,ACS_PCT_HH_FOOD_STMP_BLW_POV,Percentage of households receiving food stamps/SNAP with income below the poverty level,62,No,,,financial Risk,No,,No,,,,,,,,,
81,2. Economic context,Income,ACS_PCT_HH_INC_10000,"Percentage of population with household income less than $10,000",83,No,,,financial Risk,No,,No,,,,,,,,,
82,2. Economic context,Income,ACS_PCT_HH_INC_100000,"Percentage of population with household income greater than $100,000",83,No,,,financial Risk,No,,No,,,,,,,,,
83,2. Economic context,Income,ACS_PCT_HH_INC_14999,"Percentage of population with household income between $10,000 and $14,999",83,No,,,financial Risk,No,,No,,,,,,,,,
84,2. Economic context,Income,ACS_PCT_HH_INC_24999,"Percentage of population with household income between $15,000 and $24,999",83,No,,,financial Risk,No,,No,,,,,,,,,
85,2. Economic context,Income,ACS_PCT_HH_INC_49999,"Percentage of population with household income between $25,000 and $49,999",83,No,,,financial Risk,No,,No,,,,,,,,,
86,2. Economic context,Income,ACS_PCT_HH_INC_99999,"Percentage of population with household income between $50,000 and $99,999",83,No,,,financial Risk,No,,No,,,,,,,,,
87,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_INTERNET,Percentage of households with any internet subscription,73,No,,,Technology Access Risk,No,,No,,,,,,,,,
88,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_INTERNET_NO_SUBS,Percentage of households with internet access without a subscription,73,No,,,Technology Access Risk,No,,No,,,,,,,,,
89,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_NO_COMP_DEV,Percentage of households without a computing device,51,No,,,Technology Access Risk,No,,No,,,,,,,,,
90,2. Economic context,Poverty,ACS_PCT_HH_NO_FD_STMP_BLW_POV,Percentage of households not receiving food stamps/SNAP with income below the poverty level,62,No,,,Food Security,No,,No,,,,,,,,,
91,2. Economic context,Poverty,ACS_PCT_HH_NO_FD_STMP_BLW_POV,Percentage of households not receiving food stamps/SNAP with income below the poverty level,62,No,,,financial Risk,No,,No,,,,,,,,,
92,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_NO_INTERNET,Percentage of households with no internet access,73,No,,,Technology Access Risk,No,,No,,,,,,,,,
93,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_OTHER_COMP,Percentage of households with other type of computer,51,No,,,Technology Access Risk,No,,No,,,,,,,,,
94,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_OTHER_COMP_ONLY,Percentage of households with other type of computer only,51,No,,,Technology Access Risk,No,,No,,,,,,,,,
95,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_PC,Percentage of households with a desktop or laptop,51,No,,,Technology Access Risk,No,,No,,,,,,,,,
96,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_PC_ONLY,Percentage of households with a desktop or laptop with no other type of computing device,51,No,,,Technology Access Risk,No,,No,,,,,,,,,
97,2. Economic context,Poverty,ACS_PCT_HH_PUB_ASSIST,Percentage of households with public assistance income or food stamps/SNAP,62,No,,,Food Security,No,,No,,,,,,,,,
98,2. Economic context,Poverty,ACS_PCT_HH_PUB_ASSIST,Percentage of households with public assistance income or food stamps/SNAP,62,No,,,financial Risk,No,,No,,,,,,,,,
99,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_SAT_INTERNET,Percentage of households with satellite internet service,73,No,,,Technology Access Risk,No,,No,,,,,,,,,
100,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_SMARTPHONE,Percentage of households with a smartphone,51,No,,,Technology Access Risk,No,,No,,,,,,,,,
101,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_SMARTPHONE_ONLY,Percentage of households with a smartphone with no other type of computing device,51,No,,,Technology Access Risk,No,,No,,,,,,,,,
102,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_TABLET,Percentage of households with a tablet or other portable wireless computer,51,No,,,Technology Access Risk,No,,No,,,,,,,,,
103,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_TABLET_ONLY,Percentage of households with a tablet or other portable wireless computer with no other type of computing device,51,No,,,Technology Access Risk,No,,No,,,,,,,,,
104,3. Education,Attainment,ACS_PCT_HS_GRADUATE,Percentage of population with only high school diploma (ages 25 and over),102,No,,,Educational Challenges,No,,No,,,,,,,,,
105,4. Physical infrastructure,Housing,ACS_PCT_HU_BOT_TANK_LP_GAS,"Percentage of occupied housing units with bottled, tank, or LP gas",100,No,,,Housing Challenges,No,,No,,,,,,,,,
106,4. Physical infrastructure,Housing,ACS_PCT_HU_COAL,Percentage of occupied housing units with coal or coke heating,100,No,,,Housing Challenges,No,,No,,,,,,,,,
107,4. Physical infrastructure,Housing,ACS_PCT_HU_ELEC,Percentage of occupied housing units with electricity heating,100,No,,,Housing Challenges,No,,No,,,,,,,,,
108,4. Physical infrastructure,Housing,ACS_PCT_HU_KITCHEN,Percentage of housing units lacking complete kitchen facilities,63,No,,,Transportation Risk,No,,No,,,,,,,,,
109,4. Physical infrastructure,Housing,ACS_PCT_HU_KITCHEN,Percentage of housing units lacking complete kitchen facilities,63,No,,,Housing Challenges,No,,No,,,,,,,,,
110,4. Physical infrastructure,Housing,ACS_PCT_HU_MOBILE_HOME,Percentage of housing units that are mobile homes,63,No,,,Transportation Risk,No,,No,,,,,,,,,
111,4. Physical infrastructure,Housing,ACS_PCT_HU_MOBILE_HOME,Percentage of housing units that are mobile homes,63,No,,,Housing Challenges,No,,No,,,,,,,,,
112,4. Physical infrastructure,Housing,ACS_PCT_HU_NO_FUEL,Percentage of occupied housing units without fuel,100,No,,,Housing Challenges,No,,No,,,,,,,,,
113,4. Physical infrastructure,Transportation,ACS_PCT_HU_NO_VEH,Percentage of housing units with no vehicle available,63,No,,,Transportation Risk,No,,No,,,,,,,,,
114,4. Physical infrastructure,Transportation,ACS_PCT_HU_NO_VEH,Percentage of housing units with no vehicle available,63,No,,,Housing Challenges,No,,No,,,,,,,,,
115,4. Physical infrastructure,Housing,ACS_PCT_HU_OIL,Percentage of occupied housing units with fuel oil heating,100,No,,,Housing Challenges,No,,No,,,,,,,,,
116,4. Physical infrastructure,Housing,ACS_PCT_HU_OTHER,Percentage of occupied housing units with other heating fuel,100,No,,,Housing Challenges,No,,No,,,,,,,,,
117,4. Physical infrastructure,Housing,ACS_PCT_HU_PLUMBING,Percentage of housing units lacking complete plumbing facilities,63,No,,,Transportation Risk,No,,No,,,,,,,,,
118,4. Physical infrastructure,Housing,ACS_PCT_HU_PLUMBING,Percentage of housing units lacking complete plumbing facilities,63,No,,,Housing Challenges,No,,No,,,,,,,,,
119,4. Physical infrastructure,Housing,ACS_PCT_HU_SOLAR,Percentage of occupied housing units with solar energy,100,No,,,Housing Challenges,No,,No,,,,,,,,,
120,4. Physical infrastructure,Housing,ACS_PCT_HU_UTILITY_GAS,Percentage of occupied housing units with utility gas heating,100,No,,,Housing Challenges,No,,No,,,,,,,,,
121,4. Physical infrastructure,Housing,ACS_PCT_HU_WOOD,Percentage of occupied housing units with wood heating,100,No,,,Housing Challenges,No,,No,,,,,,,,,
122,2. Economic context,Poverty,ACS_PCT_INC50,Percentage of population with income to poverty ratio under 0.50,173,No,,,financial Risk,No,,No,,,,,,,,,
123,3. Education,Attainment,ACS_PCT_LT_HS,Percentage of population with less than high school education (ages 25 and over),102,No,,,Educational Challenges,No,,No,,,,,,,,,
124,5. Healthcare context,Health insurance status,ACS_PCT_MEDICAID_ANY,Percentage of population with any Medicaid/means-tested public health insurance coverage,43,No,,,financial Risk,No,,No,,,,,,,,,
125,5. Healthcare context,Health insurance status,ACS_PCT_MEDICARE_ONLY,Percentage of population with Medicare only,13,No,,,financial Risk,No,,No,,,,,,,,,
126,1. Social context,Disability,ACS_PCT_NONVET_DISABLE_18_64,Percentage of nonveterans with a disability (between ages 18 and 64),133,No,,,Disease Risk,No,,No,,,,,,,,,
127,2. Economic context,Poverty,ACS_PCT_NONVET_POV_18_64,Percentage of civilian nonveterans with income below the poverty level in the past 12 months (between ages 18 and 64),31,No,,,financial Risk,No,,No,,,,,,,,,
128,5. Healthcare context,Health insurance status,ACS_PCT_OTHER_INS,Percentage of population with other health insurance coverage combinations,13,No,,,financial Risk,No,,No,,,,,,,,,
129,4. Physical infrastructure,Housing,ACS_PCT_OWNER_HU,Percentage of occupied housing units: owner-occupied,55,No,,,Housing Challenges,No,,No,,,,,,,,,
130,4. Physical infrastructure,Housing,ACS_PCT_OWNER_HU,Percentage of occupied housing units: owner-occupied,55,No,,,financial Risk,No,,No,,,,,,,,,
131,4. Physical infrastructure,Housing,ACS_PCT_OWNER_HU_CHILD,Percentage of owner-occupied housing units with children,55,No,,,Housing Challenges,No,,No,,,,,,,,,
132,4. Physical infrastructure,Housing,ACS_PCT_OWNER_HU_CHILD,Percentage of owner-occupied housing units with children,55,No,,,financial Risk,No,,No,,,,,,,,,
133,4. Physical infrastructure,Housing,ACS_PCT_OWNER_HU_COST_30PCT,Percentage of owner-occupied housing units with selected monthly owner costs equal to 30 percent or more of household income,55,No,,,Housing Challenges,No,,No,,,,,,,,,
134,4. Physical infrastructure,Housing,ACS_PCT_OWNER_HU_COST_30PCT,Percentage of owner-occupied housing units with selected monthly owner costs equal to 30 percent or more of household income,55,No,,,financial Risk,No,,No,,,,,,,,,
135,4. Physical infrastructure,Housing,ACS_PCT_OWNER_HU_COST_50PCT,Percentage of owner-occupied housing units with selected monthly owner costs equal to 50 percent or more of household income,55,No,,,Housing Challenges,No,,No,,,,,,,,,
136,4. Physical infrastructure,Housing,ACS_PCT_OWNER_HU_COST_50PCT,Percentage of owner-occupied housing units with selected monthly owner costs equal to 50 percent or more of household income,55,No,,,financial Risk,No,,No,,,,,,,,,
137,2. Economic context,Poverty,ACS_PCT_PERSON_INC_100_124,Percentage of population with an income to poverty ratio between 1.00 and 1.24,173,No,,,financial Risk,No,,No,,,,,,,,,
138,2. Economic context,Poverty,ACS_PCT_PERSON_INC_125_199,Percentage of population with an income to poverty ratio between 1.25 and 1.99,173,No,,,financial Risk,No,,No,,,,,,,,,
139,2. Economic context,Poverty,ACS_PCT_PERSON_INC_ABOVE200,Percentage of population with an income to poverty ratio of 2.00 or higher,173,No,,,financial Risk,No,,No,,,,,,,,,
140,2. Economic context,Poverty,ACS_PCT_PERSON_INC_BELOW99,Percentage of population with an income to poverty ratio under 1.00,173,No,,,financial Risk,No,,No,,,,,,,,,
141,3. Education,Attainment,ACS_PCT_POSTHS_ED,Percentage of population with any postsecondary education (ages 25 and over),102,No,,,Educational Challenges,No,,No,,,,,,,,,
142,5. Healthcare context,Health insurance status,ACS_PCT_PRIVATE_ANY,Percentage of population with any private health insurance coverage,13,No,,,financial Risk,No,,No,,,,,,,,,
143,5. Healthcare context,Health insurance status,ACS_PCT_PRIVATE_EMPL,Percentage of population with employer-based health insurance,13,No,,,financial Risk,No,,No,,,,,,,,,
144,5. Healthcare context,Health insurance status,ACS_PCT_PRIVATE_MDCR,Percentage of population with employer-based and Medicare insurance coverage,13,No,,,financial Risk,No,,No,,,,,,,,,
145,5. Healthcare context,Health insurance status,ACS_PCT_PRIVATE_MDCR_35_64,Percentage of population with direct-purchase and Medicare health insurance (between ages 35 and 64),43,No,,,financial Risk,No,,No,,,,,,,,,
146,5. Healthcare context,Health insurance status,ACS_PCT_PRIVATE_OTHER,Percentage of population with other private-only health insurance combinations,13,No,,,financial Risk,No,,No,,,,,,,,,
147,5. Healthcare context,Health insurance status,ACS_PCT_PRIVATE_OTHER_BELOW64,Percentage of population with other private-only health insurance combinations (ages 64 and below),43,No,,,financial Risk,No,,No,,,,,,,,,
148,5. Healthcare context,Health insurance status,ACS_PCT_PRIVATE_SELF,Percentage of population with direct-purchase health insurance only,13,No,,,financial Risk,No,,No,,,,,,,,,
149,5. Healthcare context,Health insurance status,ACS_PCT_PUBLIC_OTHER,Percentage of population with other public-only health insurance combinations,13,No,,,financial Risk,No,,No,,,,,,,,,
150,5. Healthcare context,Health insurance status,ACS_PCT_PUBLIC_ONLY,"Percentage of population with Medicare, Medicaid, TRICARE/military, U.S. Department of Veterans Affairs (VA) coverage and other public-only health insurance combinations",153,No,,,financial Risk,No,,No,,,,,,,,,
151,5. Healthcare context,Health insurance status,ACS_PCT_PUBLIC_OTHER_BELOW64,Percentage of population with other public-only health insurance combinations (ages 64 and below),43,No,,,financial Risk,No,,No,,,,,,,,,
152,4. Physical infrastructure,Transportation,ACS_PCT_PUBL_TRANSIT,"Percentage of workers taking public transportation, excluding taxicab (ages 16 and over)",75,No,,,Transportation Risk,No,,No,,,,,,,,,
